,타이틀,제작사,발매일,이미지 링크,발매 타입
0,Behind The Screen,OSEN,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3328/45bef528c6d3890801d63363d77474c5.jpg,['DL']
1,오메가 스트라이커스,dyssey Interactive,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3314/abeb9dd0b4acda7aa5574649e00323cd.jpg,['DL']
2,SD 신 가면라이더 난무,다이남코 엔터테인먼트 코리아,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3315/c4d29c2e8c80806a2da539d4fcc2def1.jpg,"['PK', 'DL']"
3,가제트 2 (Contraptions 2),unbox Media,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3316/3d9148f9870016b89e8c17025b9cf4e0.jpg,['DL']
4,혹시? 유령 사격장 for Nintendo Switch,AEWON MEDIA,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3317/3f2ce28429072a1bb1d9f9e246659a62.jpg,"['PK', 'DL']"
5,포트리스 S,AEWON MEDIA,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3318/e50926033eb8e139a300f264d9341c2b.jpg,"['PK', 'DL']"
6,24h편의점 스토리(Convenience Stories),airosoft,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3319/b9ddf9520b146123f795fa0c14610d78.jpg,['DL']
7,PICROSS S9,UPITER,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3320/eebadc45fea9d06a10c341201f8ea795.jpg,['DL']
8,데스타: 기억의 저편,stwo games,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3321/cd824871965f1cc5c8c8e938a667a7d8.jpg,['DL']
9,어린이를 위한 피아노,edDeerGames,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3322/d4ddda3f17ea60f091a81195cca952eb.jpg,['DL']
10,Almightree: The Last Dreamer,uneX,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3323/be472ffb84d67c0e9ef4c0a6c2669ce9.jpg,['DL']
11,Defoliation,OSEN,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3324/7f9ee6bc92205b3c4fa9efdab1a9e1d6.jpg,['DL']
12,Pixel Cup Soccer - Ultimate Edition ( 얼티밋 에디션 ),atovi Games,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3325/02eea471200bab1e38445ce5352cfcc1.jpg,['DL']
13,브램블: 산속의 왕 (Bramble: The Mountain King),에이치투인터렉티브,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3326/5fda6c2d20bbce47d616a6039e2c8461.jpg,"['PK', 'DL']"
14,Cyber Neon Bundle,UByte Interactive,2023.04.27,https://www.nintendo.co.kr/front_images/sw/switch/3327/cb532f355692114f2b6d3e94c088fa20.jpg,['DL']
15,Aliens: Fireteam Elite,bitus,2023.04.26,https://www.nintendo.co.kr/front_images/sw/switch/3313/ea4394b33259c87afc196e70360c79eb.jpg,['DL']
16,애프터이미지 (Afterimage),에이치투인터렉티브,2023.04.25,https://www.nintendo.co.kr/front_images/sw/switch/3311/7c66b960805414ad1c32a4f174884703.jpg,"['체험판', 'PK', 'DL']"
17,Strayed Lights,mbers,2023.04.25,https://www.nintendo.co.kr/front_images/sw/switch/3312/e19979d6c7f19cedba5920e2ccbf2527.jpg,['DL']
18,Fitness Boxing Fist of the North Star,MAGINEER,2023.04.21,https://www.nintendo.co.kr/front_images/sw/switch/3288/c7d9f445f092166b0a956a4a2706d5ac.jpg,"['PK', 'DL']"
19,Itorah,ssemble Entertainment,2023.04.21,https://www.nintendo.co.kr/front_images/sw/switch/3289/00a339f290bd91a715b94e901e7280b5.jpg,"['체험판', 'DL']"
20,AKIBA'S TRIP2 Director's Cut(아키바스 트립2 DC),louded Leopard Entertainment,2023.04.20,https://www.nintendo.co.kr/front_images/sw/switch/3258/413d8e3c4a3c7026c578a6d485767f2d.jpg,"['PK', 'DL']"
21,Arcana of Paradise —The Tower—,HUEISHA GAMES,2023.04.20,https://www.nintendo.co.kr/front_images/sw/switch/3259/a88040da8b97688cf2aa4ef4d3ef09c3.jpg,"['PK', 'DL']"
22,FINAL FANTASY,QUARE ENIX,2023.04.20,https://www.nintendo.co.kr/front_images/sw/switch/3260/2a2c0c79e9ba7489e8a573b808efffd9.jpg,"['체험판', 'DL']"
23,FINAL FANTASY II,QUARE ENIX,2023.04.20,https://www.nintendo.co.kr/front_images/sw/switch/3261/ca017e500ec95dde1eae84272dc874d8.jpg,['DL']
